"","sourcedb","SiteName","LabCode","C14Age","C14SD","db_period","db_culture","Period","lon","lat","colors","median","tpq","taq"
"3315","calpal","Bapska","Bln-346",5955,80,"Neolithic","Lengyel","MN",19.2667,45.1833,NA,-4838.88147473536,-4462,-5214
"3316","radon","Karanovo","Bln-3462",6510,60,"III","Karanovo culture","EN",25.933333,42.5,NA,-5462.57777614391,-5218,-5638
"3317","radon","Karanovo","Bln-3463",6350,60,"III","Karanovo culture","EN",25.933333,42.5,NA,-5323.92353712742,-5035,-5525
"3318","calpal","Slatina","Bln-3504",6970,60,"Neolithic",NA,"UN",23.36,42.7,NA,-5849.00273069393,-5634,-6063
"3319","calpal","Slatina","Bln-3555",6830,60,"Neolithic",NA,"UN",23.36,42.7,NA,-5713.65601849952,-5527,-5981
"3320","bda","Serratura","Bln-3569",9620,60,"Mésolithique 1","Sauveterriano","EM",15.3705,40.0327,NA,-9000.76317662193,-8638,-9290
"3321","bda","Serratura","Bln-3570",9870,70,"Mésolithique 1","Sauveterriano","EM",15.3705,40.0327,NA,-9345.986724793,-8879,-9860
"3322","calpal","Galabnik","Bln-3576",6670,70,"Neolithic",NA,"UN",23.083,42.4166,NA,-5585.99932881901,-5369,-5829
"3323","calpal","Galabnik","Bln-3579",7030,70,"Neolithic",NA,"UN",23.083,42.4166,NA,-5905.3694399146,-5661,-6212
"3324","calpal","Galabnik","Bln-3579H",7220,80,"Neolithic",NA,"UN",23.083,42.4166,NA,-6086.47805676151,-5783,-6412
"3325","calpal","Galabnik","Bln-3580",7120,70,"Neolithic",NA,"UN",23.083,42.4166,NA,-5990.57002500136,-5725,-6236
"3326","calpal","Galabnik","Bln-3581",6790,80,"Neolithic",NA,"UN",23.083,42.4166,NA,-5687.48348413227,-5474,-5985
"3327","calpal","Galabnik","Bln-3582",6950,70,"Neolithic",NA,"UN",23.083,42.4166,NA,-5830.98241521857,-5622,-6066
"3328","calpal","Dobrinisce","Bln-3785",6650,60,"Neolithic",NA,"UN",23.56,41.83,NA,-5573.67485508181,-5374,-5739
"3329","calpal","Dobrinisce","Bln-3786",6610,50,"Neolithic",NA,"UN",23.56,41.83,NA,-5548.50437342057,-5372,-5717
"3330","calpal","Öcsöd-Kováshalom","Bln-3957a",6010,100,"Neolithic","Tisza","EN",20.5372,46.8559,NA,-4909.05000701422,-4459,-5320
"3331","calpal","Öcsöd-Kováshalom","Bln-3957b",6180,60,"Neolithic","Tisza","EN",20.5372,46.8559,NA,-5121.88392308049,-4804,-5370
"3332","calpal","Öcsöd-Kováshalom","Bln-3957c",6040,50,"Neolithic","Tisza","EN",20.5372,46.8559,NA,-4935.7572054053,-4714,-5213
"3333","calpal","Öcsöd-Kováshalom","Bln-3962",6070,60,"Neolithic","Tisza","EN",20.5372,46.8559,NA,-4977.54892473482,-4714,-5300
"3334","calpal","Öcsöd-Kováshalom","Bln-3964",6060,50,"Neolithic","Tisza","EN",20.5372,46.8559,NA,-4961.98260911324,-4719,-5275
"3335","calpal","Öcsöd-Kováshalom","Bln-3965",6170,80,"Neolithic","Tisza","EN",20.5372,46.8559,NA,-5110.22032987302,-4725,-5470
"3336","calpal","Öcsöd-Kováshalom","Bln-3966",6040,70,"Neolithic","Tisza","EN",20.5372,46.8559,NA,-4939.66650732593,-4616,-5301
"3337","radon","Szamossályi","Bln-404",6136,100,"Alföld-LBK. späte","Linienbandkeramik","EN",22.6,47.883333,NA,-5068.63170507709,-4618,-5473
"3338","calpal","Galabnik","Bln-4091",6760,60,"Neolithic",NA,"UN",23.083,42.4166,NA,-5665.3682001712,-5478,-5887
"3339","calpal","Galabnik","Bln-4092",6710,60,"Neolithic",NA,"UN",23.083,42.4166,NA,-5627.01071452068,-5473,-5835
"3340","calpal","Galabnik","Bln-4093",7100,80,"Neolithic",NA,"UN",23.083,42.4166,NA,-5966.19526178784,-5673,-6239
"3341","calpal","Galabnik","Bln-4094",6760,80,"Neolithic",NA,"UN",23.083,42.4166,NA,-5665.29904735211,-5412,-5980
"3342","calpal","Galabnik","Bln-4095",7020,150,"Neolithic",NA,"UN",23.083,42.4166,NA,-5893.78918094263,-5476,-6420
"3343","calpal","Galabnik","Bln-4096",7140,80,"Neolithic",NA,"UN",23.083,42.4166,NA,-6007.43096203669,-5722,-6362
"3344","calpal","Cavdar","Bln-4106",6840,50,"Neolithic",NA,"UN",24.083,42.63,NA,-5720.414311014,-5562,-5976
"3345","radon","Zollchow","Bln-4199",6250,50,NA,"Linienbandkeramik","EN",13.848266601562,53.261003143298,NA,-5219.0456502796,-4947,-5468
"3346","radon","Westeregeln","Bln-42",6045,100,"ältere bis mittlere LBK","Linienbandkeramik","EN",11.4,51.9666667,NA,-4952.62850644457,-4508,-5367
"3347","calpal","Cavdar","Bln-4261",7120,80,"Neolithic",NA,"UN",24.083,42.63,NA,-5988.68886086976,-5717,-6331
"3348","radon","Azmak","Bln-430",6279,120,"I","Karanovo culture","EN",25.766667,42.45,NA,-5228.45794334938,-4719,-5623
"3349","radon","Priština","Bln-435",6280,80,"Älter","Vinča culture","EN",21.15,42.65,NA,-5242.73619472179,-4846,-5520
"3350","radon","Chabařovice","Bln-437",6070,200,"älteste LBK, entwickelte Phase","Linienbandkeramik","EN",13.941841885086,50.673181307702,NA,-4981.66884853227,-4262,-5629
