Code_Region;Region / Country;Department / District;Municipality;Site;Cultural_complex;Cultural_aspect;Event_id.;Method_1;Lab_count_id.;14C_age_BP;STD;Curve;Method_2;Material;Generic_Specific_id.;Anatomical_id.;Identified_by;Reference(s);Comment_1;STD_accuracy;Accuracy_score;Material_reliability;Reliability_score;Quality_score;Comment_2;HPD_IntCal20;ChronoModel_id.;BMAP_EMAP;MACT-1;MACT-2;MACT-3
CWM_A091;Trentino-Alto Adige (IT);Trento;Fai Della Paganella;Vatte di Zambana;EME;Sauveterrian;A091_VDZ#Spit-10-Hearth-3#A;14C;R-490;7860;110;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1969;_;LOWEST;1;OWE;2;2;_;"[ -7042 ; -6497 ]";na;na;;;
CWM_A091;Trentino-Alto Adige (IT);Trento;Fai Della Paganella;Vatte di Zambana;EME;Sauveterrian;A091_VDZ#Spit-10-Hearth-3#B;14C;R-490A;7960;110;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1969;_;LOWEST;1;OWE;2;2;_;"[ -7173 ; -6590 ]";na;na;;;
CWM_A091;Trentino-Alto Adige (IT);Trento;Fai Della Paganella;Vatte di Zambana;EME;Sauveterrian;A091_VDZ#Spit-10B#A;14C;R-491;8000;100;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1969;_;LOW;2;OWE;2;4;_;"[ -7181 ; -6640 ]";na;na;;;
CWM_A091;Trentino-Alto Adige (IT);Trento;Fai Della Paganella;Vatte di Zambana;EME;Sauveterrian;A091_VDZ#Spit-10B#B;14C;R-491A;7740;150;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1969;_;LOW;2;OWE;2;4;_;"[ -7043 ; -6266 ]";na;na;;;
CWM_B062;Marche (IT);Ancona;Monterado;Ripabianca;IMP_MAD;Medio-adriatica / Fiorano-Vhò;B062_RPB#Layer-2-sup#A;14C;R-598;6210;75;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1970;_;LOW;2;OWE;2;4;_;"[ -5319 ; -4952 ]";na;na;;;
CWM_B062;Marche (IT);Ancona;Monterado;Ripabianca;IMP_MAD;Medio-adriatica / Fiorano-Vhò;B062_RPB#Layer-2-sup#B;14C;R-598a;6140;70;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1970;_;GOOD;3;OWE;2;6;_;"[ -5294 ; -4851 ]";na;na;;;
CWM_B062;Marche (IT);Ancona;Monterado;Ripabianca;IMP_MAD;Medio-adriatica / Fiorano-Vhò;B062_RPB#Layer-3b-inf;14C;R-599a;6260;85;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1970;_;LOW;2;OWE;2;4;_;"[ -5466 ; -4997 ]";na;na;;;
CWM_B061;Marche (IT);Macerata;Muccia;Maddalena (la);IMP_MAD;Impressa (Medio-adriatica);B061_MDD#ST-S_Spit-4/6;14C;R-643a;6580;75;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1970;_;LOW;2;OWE;2;4;_;"[ -5633 ; -5376 ]";na;na;_;;
CWM_C062;Toscana (IT);Siena;Sarteano;Orso (grotta dell);LIN_SSV;Sasso / Fiorano;C062_ORS#Layer-E;14C;R-676;6080;50;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1973;_;GOOD;3;OWE;2;6;_;"[ -5206 ; -4842 ]";na;na;;;
CWM_A091;Trentino-Alto Adige (IT);Trento;Trento;Romagnano 3 (riparo);LIN_GBN;Gaban;A091_RM3#Layer-T4#A;14C;R-781;5810;50;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1978;_;GOOD;3;OWE;2;6;_;"[ -4786 ; -4543 ]";A091_RM3;"[-5420 ; -4661]";5410;4970;4670
