ID;SiteName;LFSite;SiteType;Country;Period;PhaseCode;LabCode;C14Age;C14SD;Material;MaterialSpecies;AnatomicalParts;Reliability;tpq;taq;Longitude;Latitude;bib;bib_url;;
3282;Petit-Chasseur;;MG-BU;Swiss;EN;Layer 13;B-2469;5500;110;wood charcoal;n/d;n/a;;-4583;-4049;7,359579;46,231164;Piguet 2011;Piguet11;;
3286;Petit-Chasseur;;MG-BU;Swiss;MN;Layer 8-12;B-2471;5070;90;wood charcoal;n/d;n/a;;-4044;-3651;7,359579;46,231164;Piguet 2011;Piguet11;;
3303;Sion-Planta;;OP;Swiss;EN;Layer 6C;B-4008;5980;30;wood charcoal;n/d;n/a;;-4984;-4784;7,357827;46,232916;Gallay et al. 1987;https://doi.org/10.4000/books.editionscnrs.1114.;;
3258;Castel Grande di Bellinzona;;OP;Swiss;EN;Layer middle;B-4561;5150;60;wood charcoal;n/d;n/a;;-4218;-3786;9,017;46,2;Bagolini & Biagi 1990;https://doi.org/10.1111/j.1468-0092.1990.tb00211.x;;
3257;Castel Grande di Bellinzona;;OP;Swiss;EN;Layer 13;B-4563;5410;100;wood charcoal;n/d;n/a;;-4446;-3994;9,017;46,2;Bagolini & Biagi 1990;https://doi.org/10.1111/j.1468-0092.1990.tb00211.x;;
3256;Castel Grande di Bellinzona;;OP;Swiss;EN;Isolated wood charcoal from layers;B-4565;6270;40;wood charcoal;n/d;n/a;;-5323;-5071;9,017;46,2;Bagolini & Biagi 1990;https://doi.org/10.1111/j.1468-0092.1990.tb00211.x;;
3328;Tourbillon;;OP;Swiss;MN;Base of the pit;B-4865;5300;40;wood charcoal;n/d;n/a;;-4309;-3992;7,365535;46,236385;Martin 2015;https://doi.org/10.1007/s00334-014-0490-y;;
3329;Tourbillon;;OP;Swiss;MN;Top of the pit;B-4875;5130;80;wood charcoal;n/d;n/a;;-4224;-3663;7,365535;46,236385;Martin 2015;https://doi.org/10.1007/s00334-014-0490-y;;
3260;Chateau de la Soie;;OP;Swiss;MN;A 76;B-4955;5450;60;wood charcoal;n/d;n/a;;-4445;-4061;7,324299;46,241567;Piguet 2011;Piguet11;;
3259;Chateau de la Soie;;OP;Swiss;MN;A 76;B-4956;5470;60;wood charcoal;n/d;n/a;;-4451;-4071;7,324299;46,241567;Piguet 2011;Piguet11;;
3239;Abri de Chable-Croix;;RK;Swiss;EM;Layer 2;B-4978;7410;100;wood charcoal;n/d;n/a;;-6439;-6072;6,910954;46,297234;Crotti & Pignat 1988;Crotti88;;
2265;Pizzo di Bodio;Pizzo di Bodio;OP;Italy;EN;Phase 1, US 360;B-5087;5730;40;n/a;n/a;n/a;;-4688;-4458;8,736806;45,80328;Mazzucco et al. 2020;https://doi.org/10.1371/journal.pone.0232455.s002;;
2263;Pizzo di Bodio;Pizzo di Bodio;OP;Italy;EN;Phase 00, US 326;B-5088;6060;50;n/a;n/a;n/a;;-5206;-4799;8,736806;45,80328;Mazzucco et al. 2020;https://doi.org/10.1371/journal.pone.0232455.s002;;
2262;Pizzo di Bodio;Pizzo di Bodio;OP;Italy;EN;Phase 00, US 271;B-5090;6320;80;n/a;n/a;n/a;;-5474;-5067;8,736806;45,80328;Mazzucco et al. 2020;https://doi.org/10.1371/journal.pone.0232455.s002;;
3298;Sion - Avenue Ritz;;BU;Swiss;MN;Hearth 12a;B-5134;5120;40;wood charcoal;n/d;n/a;;-4037;-3797;7,359572;46,235841;Piguet 2011;Piguet11;;
3294;Sion - Avenue Ritz;;BU;Swiss;MN;Hearth 14a;B-5135;5330;70;wood charcoal;n/d;n/a;;-4331;-3991;7,359572;46,235841;Piguet 2011;Piguet11;;
3296;Sion - Avenue Ritz;;BU;Swiss;MN;Structure 14;B-5136;5220;40;wood charcoal;n/d;n/a;;-4227;-3957;7,359572;46,235841;Piguet 2011;Piguet11;;
3292;Sion - Avenue Ritz;;BU;Swiss;MN;Hearth 25;B-5137;5380;70;wood charcoal;n/d;n/a;;-4350;-4046;7,359572;46,235841;Piguet 2011;Piguet11;;
3287;Sion - Avenue Ritz;;BU;Swiss;MN;n/a;B-5138;5980;40;n/a;n/a;n/a;;-4991;-4731;7,359572;46,235841;Hafner12;Hafner12;;
2267;Pizzo di Bodio;Pizzo di Bodio;OP;Italy;EN;Phase 1, US 360;B-5329;5710;90;n/a;n/a;n/a;;-4776;-4357;8,736806;45,80328;Mazzucco et al. 2020;https://doi.org/10.1371/journal.pone.0232455.s002;;
3279;La Gilliere;;OP;Swiss;EN;F 2017;B-6218;5620;90;wood charcoal;n/d;n/a;;-4686;-4274;7,359579;46,231164;Piguet 2011;Piguet11;;
3280;La Gilliere;;OP;Swiss;EN;F 203;B-6219;5520;90;wood charcoal;n/d;n/a;;-4550;-4060;7,359579;46,231164;Piguet 2011;Piguet11;;
3326;Tourbillon;;OP;Swiss;EN;Deepest layer;B-6258;5950;40;n/a;n/a;n/a;;-4936;-4723;7,365535;46,236385;Martin 2015;https://doi.org/10.1007/s00334-014-0490-y;;
3327;Tourbillon;;OP;Swiss;EN;Deepest layer;B-6259;5950;90;n/a;n/a;n/a;;-5202;-4603;7,365535;46,236385;Martin 2015;https://doi.org/10.1007/s00334-014-0490-y;;
3284;Petit-Chasseur;;BU;Swiss;MN;Layer 8-12;B-863;5130;230;wood charcoal;n/d;n/a;;-4446;-3381;7,359579;46,231164;Piguet 2011;Piguet11;;
1124;Cyclops Cave. Gioura;;;Greece;Final Mesolithic;;Beta-;7440;50;animal bone;Ovis/Capra;teeth;;-6426;-6223;24,15703;39,371388;;;;
1126;Cyclops Cave. Gioura;;;Greece;Final Mesolithic;;Beta-;7360;50;animal bone;Ovis/Capra;teeth;;-6373;-6078;24,15703;39,371388;;;;
1128;Cyclops Cave. Gioura;;;Greece;Final Mesolithic;;Beta-;7120;80;animal bone;Ovis/Capra;teeth;;-6217;-5803;24,15703;39,371388;;;;
1129;Cyclops Cave. Gioura;;;Greece;Final Mesolithic;;Beta-;7060;80;animal bone;Ovis/Capra;teeth;;-6067;-5760;24,15703;39,371388;;;;
2726;Can Xammar;;OP;Spain;EN;n/a;Beta-?;6150;40;wood charcoal;n/d;n/a;;-5215;-4960;2,448568;41,539548;Morales Hidalgo et al. 2010;https://doi.org/10.1016/j.anthro.2010.07.004;;
1445;Megalo Nisi Galanis;;;Greece;Early Neolithic;;Beta-098971;7360;50;wood charcoal;n/d;n/a;;-6373;-6078;21,882193;40,379387;;;;
2728;Cerro de la Virtud;;OP;Spain;EN;Layer I;Beta-101424;6160;180;wood charcoal;n/d;n/a;;-5478;-4695;-2,1334;37,35;Ruiz-Taboada & Montero 1999;RuizTaboada99;;
2733;Cerro de la Virtud;;BU;Spain;EN;Layer II, collective burial;Beta-101425;5860;70;wood charcoal;Olea sp.;n/a;;-4904;-4541;-2,1334;37,35;Ruiz-Taboada & Montero 1999;RuizTaboada99;;
1302;Halai;;;Greece;Early Neolithic (late)-Middle Neolithic (early);;Beta-102901;6950;50;wood charcoal;n/d;n/a;;-5975;-5730;23,182545;38,663385;;;;
1298;Halai;;;Greece;Middle Neolithic;;Beta-102907;7020;50;wood charcoal;n/d;n/a;;-6010;-5777;23,182545;38,663385;;;;
1299;Halai;;;Greece;Early Neolithic (late)-Middle Neolithic (early);;Beta-102908;7010;50;wood charcoal;n/d;n/a;;-5990;-5757;23,182545;38,663385;;;;
1305;Halai;;;Greece;Middle Neolithic (earlier);;Beta-102909;6870;50;wood charcoal;n/d;n/a;;-5884;-5656;23,182545;38,663385;;;;
1297;Halai;;;Greece;Middle Neolithic (later);;Beta-102910;7050;50;wood charcoal;n/d;n/a;;-6023;-5803;23,182545;38,663385;;;;
55;Grapceva Cave;Grapčeva (spilja);GR;Croatia;LN;US 1290;Beta-103481;5650;100;wood charcoal;n/d;n/a;;-4721;-4330;16,753065;43,133991;Forenbaher et al. 2010;https://doi.org/10.1179/009346910X12707321358955;;
56;Grapceva Cave;Grapčeva (spilja);GR;Croatia;LN;US 1310;Beta-103482;5460;60;wood charcoal;n/d;n/a;;-4448;-4067;16,753065;43,133991;Forenbaher et al. 2010;https://doi.org/10.1179/009346910X12707321358955;;
54;Grapceva Cave;Grapčeva (spilja);GR;Croatia;LN;US 1320;Beta-103483;5720;70;wood charcoal;n/d;n/a;;-4721;-4369;16,753065;43,133991;Forenbaher et al. 2010;https://doi.org/10.1179/009346910X12707321358955;;
58;Grapceva Cave;Grapčeva (spilja);GR;Croatia;LN;US 1330;Beta-103484;5420;70;wood charcoal;n/d;n/a;;-4440;-4050;16,753065;43,133991;Forenbaher et al. 2010;https://doi.org/10.1179/009346910X12707321358955;;
52;Grapceva Cave;Grapčeva (spilja);GR;Croatia;LN;US 1350;Beta-103485;6130;80;wood charcoal;n/d;n/a;;-5298;-4845;16,753065;43,133991;Forenbaher et al. 2010;https://doi.org/10.1179/009346910X12707321358955;;
57;Grapceva Cave;Grapčeva (spilja);GR;Croatia;LN;US 1310;Beta-103486;5460;60;wood charcoal;n/d;n/a;;-4448;-4067;16,753065;43,133991;Forenbaher et al. 2010;https://doi.org/10.1179/009346910X12707321358955;;
