period	culture	class
Epipalaeolithic	Final Solutrean	
	Solutrean, Lower Magdalenian	
	1. Recent Azilian - 2. Ancient Azilian - 3. Upper Magdalenian	
	Geometric Mesolithic	
Neolithic	AltN	
Neolithic	Horgen	
Neolithic	Zü-Ha	
Neolithic	Egolzwil, Wauwil	
Neolithic	AltNL?	
Neolithic	NAV	
	Mesolithic?	
	AltNL?	
	Meso-/Neolithikum	
Neolithic	Period IC	
Neolithic	layer 6	
Neolithic	layer 4	
Neolithic	layer 3	
Neolithic	layer 2b	
Neolithic	PPNA ?	
Neolithic	US 29	
Neolithic	Proto-Halaf	
Neolithic	LN	
Neolithic	EN	
Epipalaeolithic ?		
Neolithic	Pre-Halaf	
	basal layer	
Neolithic	Proto-Hassuna	
Chalcolithic	Level 10	
Chalcolithic	Level 11	
Neolithic	Level 18	
Neolithic	Early Halaf	
Neolithic	Transitional	
Neolithic	Early Ceramic Neolithic	
Neolithic	operation III	
Neolithic	Pre Proto-Hassuna	
Neolithic	Level VIb	
Neolithic	Level III	
Neolithic	Level 0	
Neolithic	Level VIa	
Neolithic	Level IVa	
Neolithic	Level Vb	
Neolithic	Level I	
Neolithic	Level II	
Neolithic	Level IVb	
Neolithic	Level Va	
Epipalaeolithic	Proto-Qaramelian	
Neolithic	PPNA, PPNB	en
Neolithic	EPN ?	
Neolithic	Anatolia_Neolithic	
Neolithic	EPN	
Neolithic	?	
Environmental		
Chalcolithic	LCh	
Bronze Age		
Neolithic	EPN-LN	
Chalcolithic	Amuq D	
Chalcolithic	epi-/post Halaf	
Chalcolithic	M-CH	
Chalcolithic	Phase IX	
Chalcolithic	Phase X	
Chalcolithic	Phase VIII	
Chalcolithic	Phase VII	
Chalcolithic	Phase VA	
Chalcolithic	Phase VI	
Chalcolithic	Phase VB	
Neolithic	PPNB	en
Epipalaeolithic	Aceramic	en
Epipalaeolithic	Epi	
Chalcolithic	Kumtepe IA	
Chalcolithic	terminal stage of prehistoric occupation	
Neolithic	Fikirtepe	
Neolithic	Bug-Dniester	
Neolithic	Tripolje	
	Sredny Stog	
Epipalaeolithic	Capsian	
Chalcolithic	Tripolje	
	Surska	
	Dniper-Donetsa	
	PN	
